1,tolong bantu usir jkt eng kan ibukota lebih berkuasa gitu keknya ngmgapaandahgw 
2,again and again just smile react chanwoo says skip sore telah tiba saatnya kamu chanwoo kembali hiruk pikuk ibukota “ don’ want ” “but must ” lirihmu kesekian kali sambil menatap keindahan raja ampat dari penginapan “let’ back the home ”
3,motoran jalanan ibukota malem2 sambil ketawa ngobrol2 the best thing 
4,kuncinya perbanyak tes biar makin banyak kasus terdeteksi percepat pengerjaan vaksin dan obat lupakan pemindahan ibukota dan pembangunan jalan pastikan kebutuhan rakyat terpenuhi selama pandemi ini ingat ngga semuanya bisa wfh terutama penghasilannya harian 
5,baru sampe rumah nih abis dari ibukota baru 
6,kupi sareng ibukota gada yang tau warung kopi yang satu ini best  
7,gak buat ngucap beliau keliatan sehat kok dan lagi kalau pun sakit dan rawat ooh pasti ibukota prov gak mungkin rawat rsudnya sendiri 
8,udah dipalak preman ibukota 
9,gara2 kaido nyebut ibukota bunga jadi miliknya orochi kagak nerima abis itu langsung dah ilang lehernya
10,ibukota 
11,"oyo for better life
mnyelamatkanku kerasnya ibukota"
12,hshshs dia yang mainnya kurang jauh padahal tapi tau ibukota provinsi atau minimal kota kota besar luar pulau jawa itu parah banget 
13,kalau gak salah ibukota dulu rencana nya bandung
14,bapak bapak gaul ibukota 
15,menurut nara melarikan diri taun 2015 sih iya pyongyang ibukota super mewahnya korut aja kayak indonesia tahun 
16,kalo sekitr ibukota aku pengen rumah bsd gak jkt mau tinggal jogja kalo bisa sih pengennya tinggal kota kecil eropa sebenernya tergantung buat apa warnanya mostly peach soft pink gitu sih 
17,tapi tau ibukota provinsi parah banget asli kebangetaann anak stan lagi tapi lucu sih kak angkatanku yang jawasentris begini pas penempatan kelempar berbagai daerah kalimantan dan sulawesi sana 
18,"️️ ️️
️️ ㅤㅤbersama adiknya yang masih dan juga kakaknya wangsa akhirnya sampai ibukota dengan udara yang juga cukup panas berbeda jauh dari kota bandung mana rumah kita disini panas celotehnya mengeluh ️️ ️️
️️"
19,gapapa yogs bentar jdi ibukota bukan berburu babi hutan berburu tikus berdasi
20,"⠀
selamat malam juga carika nama saya sachiko sempat menetap bandung juga cukup lama tapi sekarang menetap ibukota untuk kerja ⠀"
21,"️️ ️️
️️ ㅤㅤwangsa seorang remaja tanggung asal bandung harus rela meninggalkan kota kelahiran sekaligus kesayangannya untuk berpindah kota yang lain dan dikenal orang sangatlah keras ibukota ️️ ️️
️️"
22,jarang banget tipikal kale ibukota ngomong2 kale berapa kali take pas scene ciumanya hahahahaha duh 
23,️️ ️️ ️️ ️️ selamat malam nama saya gempita pernah tinggal bandung tapi sekarang menetap ibukota ️️ ️️ ️️ ️️
24,itu dia abis ikut panjat pinang yaa baju nya semrawut kek jalanan ibukota
25,huffff ngeri idup ibukota ada pressure ttg prestige juga yha inginku hidup damai desa dengan pemasukan ibukota 
26,temennya temenkuu banyak cerita smp sma negeri yang suram padahal tangsel deket ibukota huhu miris apalagi yang jauh dari kota yaahh
27,akhyar berharap masyarakat dapat dengan sadar menerapkan protokol kesehatan untuk menekan angka covid ibukota provinsi sumatera utara 
28,gak mau ibukota juga dah mau dipindah xixixi 
29,jadi gubernur ibukota baru dulu dong biar ngikut jejak bapak
30,dulu waktu aku masih kelas ato kelas ibuku mendaftarkanku tempat ngaji ibukota kecamatan awalnya sih baik baik aja soalnya pas awal masuk aku emang udah bisa ngaji sampe jilid malah lancar 
31,jika ditanya kapan pandemi iki akan berakhir cobo jajalo ibukota jatim disana kok pada cuek bebek gitu lebih timur lagi saya kota proling dan sama saja salah satu warganya bilang disini gada covid mas bupatine habib kok lhaa 
32,ibukota
33,nan pang maras bos kita nan lamen bau menang dadi dpr diri nan endi leng enda petang ano gita gempang miri pang sareong leng sarea tau lewat ola nan kau saser batulanteh sampai lingkar selatan ana leng diri lunyuk ana dadi ibukota kabupaten kamaras kau endi bleng tau
34,mungkin sambil menikmati indahnya pemandangan ibukota imajinatif 
35,anak perantau ibukota sangat merindukan ini bli
36,kpn bisa kembali menikmati indah ibukota 
37,perkembangan kasus sembuh pasien covid kota denpasar terus meningkat hingga hari ini senin angka kesembuhan pasien covid ibukota provinsi bali ini mencapai 972 orang atau setara dengan … 
38,"memang semua ini
milik kita sendiri haruskah
kita beranjak ibukota yang penuh dengan tanya lebih baik disini
rumah kita sendiri
semua ada disini  "
